Select a state/territory:,Select a county:,How dry or wet is it?,How much experience do you have with conditions there?,How many times in the past have you seen it like this?,Other,When was it like this in the past?,When was it most recently like this?,How localized or widespread are the conditions you are reporting?,How are crop conditions at this time?,Planting Status,Harvest Status,How are range conditions at this time?,Generator issues,Other,Description and/or caption information,photo_exists,Form Version,What is the date?,Crop production,Other crop production impact,Livestock production,Other,Municipal water supply,Other,Community hydropower,Public and community health,Other,Household,Other,Recreation or tourism,Other,Report other business or industry impact,Other,Fire,Fire - Other,Forestry,Forestry - Other,Wildlife habitat,Wildlife habitat - Other,Freshwater fish,Freshwater fish - Other,Spawning fish,Spawning fish - Other,Display Name,Conditions are normal or wet,x,y
Alabama,St. Clair,Severely Dry,10-20 years,Once,,2016,,"All of our county and surrounding counties. Very dry and fire hazard conditions, already have had small brush fires that were hard to contain. It was a good bit dryer in 2016 but this late summer and fall has only had small rain showers with some being weeks apart at a time",,,,null,,,,0,CMOR 2022 NDMC,11/8/2023,,,,,,,,,,,,,,,,"more_fires_than_usual,more_fire_risk,burn_or_fireworks_bans",,,,,,,,,,Smith Tomato,,-86.29858225794058,33.91797958334061
Alabama,Marengo,Severely Dry,20 or more years,Twice or more,,,2009,Statewide,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/8/2023,,,"reduced_pasture_forage,feeding_hay_early,purchased_hay,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,5D Cattle,,-87.79447499999996,32.30317000000008
Alabama,Talladega,Severely Dry,10-20 years,Once,,2017,,No measurable rain in our area within several miles for about 10 weeks,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/8/2023,,,"feeding_hay_early,supplemental_feed,purchased_hay",,,,,,,increased_power_bill,,,,,,"more_fire_risk,smoke_from_distant_fire",,,,,,,,,,,,-86.33077081318879,33.25320574178956
Alabama,Hale,Moderately Dry,20 or more years,Twice or more,,,2017,They are widespread. Whole county is dry.,poor,normal,later_than_normal,Poor - Pastures are providing marginal feed; supplemental feeding required.,,,Grass is not growing. Water level has dropped low.,1,CMOR 2022 NDMC,11/8/2023,"reduced_yield,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,"less_water,reduced_fishery_production",,,,Finley James,,-87.5550618557292,32.522673688349116
Alabama,Chilton,Severely Dry,20 or more years,Never,,,,Widespread county wide,poor,later_than_normal,later_than_normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,"We are a livestock owner/producer that also harvests our own hay for supply and demand. As a result of the drought, our fields have produced 1/2 of the hay as normal. We’ve also had to supplement the cows with feed due to the lack of pasture growth and will most likely have to purchase hay.In the photo above this is what this pasture looked like before any cold weather.",1,CMOR 2022 NDMC,11/8/2023,reduced_yield,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay",,,,,,,dry_lawn,,,,reduced_production_due_to_lack_water,,,,,,,,,,,,,,-86.63976498538977,32.91817115915744
Alabama,Dale,Severely Dry,20 or more years,Once,,2000,,Everyone I know in Dale County is experiencing server drought,very_poor,later_than_normal,earlier_than_normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/8/2023,"reduced_yield,plant_stress,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,4C ,,-85.66990377596409,31.52833441371083
Alabama,Clarke,Severely Dry,20 or more years,Once,,,,Multiple neighboring counties are as dry or drier than my county,very_poor,later_than_normal,later_than_normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,no,,,0,CMOR 2022 NDMC,11/8/2023,"reduced_yield,plant_stress,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc,sold_livestock",,,,,"air_quality_dust_pollen,garden_needs_more_water_or_yields_less",,"dry_lawn,increased_power_bill",,,,,,"more_fire_risk,burn_or_fireworks_bans",,"no_new_season_growth_no_new_buds,leaves_discolored_shriveled_burnt,dead_branch_tips_and_or_dead_top,dead_trees,change_in_fruit_nut_berry_production",,"less_food,less_water",,,,,,Sandflat Cattle & Farm ,,-87.75593219999853,31.836770599999458
Alabama,Dale,Severely Dry,20 or more years,Once,,2000,,Very widespread ,,,,null,,,,0,CMOR 2022 NDMC,11/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85.67530710257974,31.528164083166946
Alabama,Crenshaw,Severely Dry,10-20 years,Twice or more,,,2019,Widespread,,,,null,,,,0,CMOR 2022 NDMC,11/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,24rancher,,-86.18104098892373,31.681789297661
Alabama,Pickens,Severely Dry,20 or more years,Once,,,,Widespread ,,,,null,,,,0,CMOR 2022 NDMC,11/8/2023,,,,,,,,,,,,,,,,,,"leaves_discolored_shriveled_burnt,dead_branch_tips_and_or_dead_top,dead_trees",,,,,,,,Jmc,,-87.90317208769042,33.317905977934856
Alabama,Hale,Severely Dry,10-20 years,Twice or more,,,2016,"Wide spread County and State, Especially in West Alabama",,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/8/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,decreased_stock_weights,animal_stress,mortality,less_water_in_ponds_creeks_etc,hauled_water",,,,,,,,,,,,,,,,,,,,,,,,,-87.73537383029414,32.53904420129152
Alabama,Hale,Severely Dry,less than 5 years,Twice or more,,,2016,Wide spread throughout the entire county and state of Alabama. Especially West Alabama,very_poor,earlier_than_normal,later_than_normal,null,,,,0,CMOR 2022 NDMC,11/8/2023,"less_water_for_irrigation,reduced_yield,insect_infestation,plant_stress,less_water_in_ponds_creeks_etc,other",Have had to haul water to water crops. ,,,,,,,,,,,,,,,,,,,,,,,,,,-87.66082904789236,32.69201230769675
Alabama,Lamar,Severely Dry,20 or more years,Never,,,,Wide spread,,,,null,,,,0,CMOR 2022 NDMC,11/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Hard,,-88.20365299852736,33.93182600100143
Alabama,Montgomery,Severely Dry,10-20 years,Once,,2016,,Several counties in Central Alabama are in severe drought conditions.,,,,null,,,,0,CMOR 2022 NDMC,11/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Nathan Lipscomb,,-86.19392700781763,32.23989002045239
Alabama,Henry,Severely Dry,5-10 years,Never,,,,Widespread ,very_poor,later_than_normal,later_than_normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/8/2023,"reduced_yield,crop_disease",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,animal_stress,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,more_fires_than_usual,,leaf_drop_or_sparse_canopy,,"less_food,less_water",,,,,,OCF Farms,,-85.21013263855613,31.323067105944087
Alabama,Pike,Severely Dry,20 or more years,Never,,,,State widw,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/8/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,more_invasive_species_plants,decreased_stock_weights,animal_stress,mortality,less_water_in_ponds_creeks_etc,hauled_water,sold_livestock",,,,,,,,,,,,,,,,,,,,,,,,,-86.10338457077471,31.67489648342562
Alabama,Chilton,Severely Dry,10-20 years,Twice or more,,,2020,150 MILE RADIUS,very_poor,later_than_normal,later_than_normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,LESS THAN HALF THE HAY / PASTURE GRASS BROWN NONE TO EAT FOR COWS / HAVING TO PURCHASE FEED TO HELP FEED ALSO WAS FEEDING HAY IN JUNE - JULY MONTHS EARLY. ALL CREEKS AND HOLDING PONDS NOT RUNNING HAVING TO PURCHASE COUNTY WATER AND HAUL WATER FOR 80 COWS IN 4139 CR 13 CLANTON ALABAMA 35045,0,CMOR 2022 NDMC,11/7/2023,"reduced_yield,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc,hauled_water",,"low_or_dry_well,hauling_water,water_rate_change",,,,,,,,,,,,,,,,,,,,,JAMES M MCGEE,,-86.64629999999853,32.836699999999446
Alabama,Coffee,Severely Dry,20 or more years,Once,,,,widespread in the county,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,LMWFarm,,-85.94434997343662,31.337362016242647
Alabama,Colbert,Severely Dry,10-20 years,Twice or more,,,2019,"I’m not sure how widespread it is, but on our farm it is bad. No rain in almost 2 months in a critical pre-winter grass growing period.",,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,CHFarms,,-87.52943999999997,34.78582000000006
Alabama,Wilcox,Severely Dry,20 or more years,Never,,,,CED,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,decreased_stock_weights,animal_stress,mortality,less_water_in_ponds_creeks_etc,sold_livestock",,"low_or_dry_well,water_quality_issues",,,,,,,,,,,,,"dead_trees,reduced_diameter_growth_compressed_rings,more_pests_diseases",,,,,,,,John ,,-87.07965239999852,31.92310249999947
Alabama,Hale,Severely Dry,10-20 years,Never,,,,Widespread throughout the county,,,,null,,,We have had less than an inch of rain the past two months. Holes are forming in the ground and grass is crunchy. ,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,UpsetFarmer,,-87.59567166137693,32.706679622797715
Alabama,,Severely Dry,20 or more years,Twice or more,,,,,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,decreased_stock_weights,animal_stress,mortality,less_water_in_ponds_creeks_etc,sold_livestock",,,,,,,,,,,,,,,,,,,,,,,Collinsville ,,-85.86401188084953,34.29883582448668
Alabama,Madison,Severely Dry,5-10 years,Never,,,,Widespread,,,,Poor - Pastures are providing marginal feed; supplemental feeding required.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed",,,,,,,,,,,,,,,,,,,,,,,,,-86.76054391736722,34.965578690995955
Alabama,Houston,Moderately Dry,5-10 years,Once,,2015,,I don't understand the question ,poor,later_than_normal,later_than_normal,null,,,,0,CMOR 2022 NDMC,11/7/2023,"reduced_yield,plant_stress",,,,,,,,,,,,,,,"more_fire_risk,smoke_from_distant_fire,burn_or_fireworks_bans",,,,,,,,,,BirdDoc,,-85.46605999999856,31.14960649999947
Alabama,Lowndes,Severely Dry,5-10 years,Once,,2016,,The entire county and adjacent county are extremely dry. Over 2 months with no appreciable moisture.,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc,sold_livestock",,,,,,,"reduced_outdoor_water_use,dry_lawn,cracked_foundation,increased_power_bill",,,,,,,,,,,,,,,,Nathan Lipscomb ,,-86.67833703071116,32.13936998965905
Alabama,Sumter,Moderately Dry,20 or more years,Other,It has been dry like this multiple times over the years.  We have not been getting much rain this year. ,,,They are pretty common for everyone with livestock.  ,,,,Poor - Pastures are providing marginal feed; supplemental feeding required.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"supplemental_feed,less_water_in_ponds_creeks_etc,erosion",,conservation_education,,,,,,,,,,,,,,,,,"less_water,water_quality_change",,,,Guy's Farm,,-88.15904459999994,32.81904110000004
Alabama,Barbour,Severely Dry,10-20 years,Twice or more,,,2012,,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85.15351372227857,31.88440067796179
Alabama,Coffee,Moderately Dry,10-20 years,Twice or more,,,2019,"Seemingly it's the Wiregrass area of lower Alabama, Georgia, and the upper panhandle of Florida.",,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Mark D.,,-85.96522659999854,31.27164419999946
Alabama,Monroe,Severely Dry,20 or more years,Never,,,,Widespread,,,,null,,,All of my fields grass are eaten down and couldn’t cut the hay needed to have enough hay for the winter.,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Davidcolquett12!,,-88.23698248369247,31.12251775679224
Alabama,Clarke,Severely Dry,20 or more years,Never,,,,Widespread ,very_poor,later_than_normal,later_than_normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,"reduced_yield,insect_infestation,plant_stress,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc,sold_livestock",,,,,,,,,,,,,,,"dead_trees,more_pests_diseases",,,,,,,,Coach,,-87.77345600899936,31.868726020617743
Alabama,DeKalb,Severely Dry,5-10 years,Once,,,,,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,CR72,,-85.86838201892952,34.41641500425359
Alabama,Cullman,Severely Dry,20 or more years,Twice or more,,,2022,,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,K & A Cattle Company,,-86.91078500212673,34.288289986685044
Alabama,Winston,Severely Dry,10-20 years,Never,,,,Wide,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-87.42190297269907,34.135297794136406
Alabama,Monroe,Severely Dry,20 or more years,Never,,,,Widespread,,,,null,,," No Grass n Pastures, what little is there is dried up & dead, if any spark hit my pastures it’s b Hell of a Fire ",0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Andy Haddox Haddox Farms,,-87.38552351415268,31.50177292095042
Alabama,Marengo,Severely Dry,20 or more years,Once,,2012,,All of west central alabama,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-87.71201083164637,32.45313629490911
Alabama,St. Clair,Severely Dry,20 or more years,Never,,,,Everyone in this area is experiencing the same conditions,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,"erosion,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc,hauled_water",,hauling_water,,water_conservation_to_mitigate_impacts,air_quality_dust_pollen,,"dry_lawn,increased_power_bill",,,,,,"more_fires_than_usual,more_fire_risk,smoke_from_distant_fire",,"leaf_drop_or_sparse_canopy,needle_drop_or_sparse_canopy,dead_trees",,"less_water,change_in_animal_migration,wildlife_foraging_near_people,water_quality_reduced,change_in_wetland_bog_swamp_muskeg",,"less_water,reduced_streamflow,warmer_water_temperatures",,,,Partridge Farms,,-86.44479099961221,33.505061987557006
Alabama,Limestone,Moderately Dry,less than 5 years,Never,,,,"Within around 10 miles of my house it looks like my pasture does - VERY dry, grass pretty much all brown and crispy.",,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early",,,,,,,,,,,,,"smoke_from_distant_fire,burn_or_fireworks_bans",,,,,,less_water,,,,Alex,,-87.03687958368896,34.801161100824615
Alabama,Baldwin,Severely Dry,20 or more years,Never,,,,It’s widespread across the state,,,,Poor - Pastures are providing marginal feed; supplemental feeding required.,,,Permanent pasture is down to the dirt. Winter ryegrass is barely visible and drought stressed. Normally grazing by this time but will be lucky if can graze by Christmas. ,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc,sold_livestock",,,,,,,,,,,,,more_fire_risk,,,,,,,,,,Sam Davis,,-87.60230995432205,30.478925382779856
Alabama,Hale,Severely Dry,20 or more years,Once,,,,Widespread ,,,,null,,,No winter grazing in pastures and have been feeding hay about two months earlier than normal ,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Matt sims ,,-87.59425999999996,32.45995500000003
Alabama,Elmore,Moderately Dry,20 or more years,Twice or more,,,2020,Within a 50 mile radius ,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Chet Matthews,,-86.27190344128925,32.66791436422299
Alabama,Elmore,Moderately Dry,20 or more years,Twice or more,,,2016,Water supply and grass drying up and feeding hay sooner than normal ,,,,null,,,"We usually don’t start feeding hay until the week of Thanksgiving, but because of the drought we had to start feeding hay the last week of October. We have enough grass that holds over until then. ",0,CMOR 2022 NDMC,11/7/2023,,,,,other,Low creeks and low ponds for drinking for cows and horses ,,,,,,,,,,,,,,,,,,,,,,-86.19707499919323,32.676783019060636
Alabama,Limestone,Severely Dry,5-10 years,Never,,,,Widespread,,,,Poor - Pastures are providing marginal feed; supplemental feeding required.,,,Pond is completely dry.  No grass. Feeding hay because of no grass still producing.  ,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early",,,,,,,"reduced_outdoor_water_use,dry_lawn,increased_power_bill",,,,,,"more_fires_than_usual,more_fire_risk,smoke_from_distant_fire,burn_or_fireworks_bans",,,,,,,,,,Alarancher53,,-86.8378630312336,34.72998200204687
Alabama,Covington,Severely Dry,20 or more years,Never,,,,Widespread ,,,,null,,,"Notice date in picture, that ended our 2023 grass hay production. Depending on the weather of course, there should have been at least one possibly two more cuttings. Drought started affecting our operation 30 days (August 19) after this picture. Non-productive and inefficient cattle have been sold to accommodate through the winter. Thankfully cattle prices were up along with energy and other expenses so cattle replacement funds were absorbed into owed balances, thus creating a bad start for 2024. Thanks Scott",1,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,S2FlockAndStock,,-86.21942199800199,31.22131629389645
Alabama,Hale,Severely Dry,20 or more years,Other,Every where around us,,,Widespread ,very_poor,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,"reduced_yield,plant_stress,less_water_in_ponds_creeks_etc,other",Feed hay on October for first time ever,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,more_invasive_species_plants,less_water_in_ponds_creeks_etc",,,,,,,"dry_lawn,cracked_foundation,increased_power_bill",,,,,,,,,,,,,,,,,,-87.55685619018568,32.66208528137781
Alabama,Pike,Severely Dry,20 or more years,Never,,,,Widespread ,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,DTHOMPSON ,,-85.93076549999856,31.671124899999462
Alabama,Limestone,Severely Dry,20 or more years,Twice or more,,,2016,,,,,Poor - Pastures are providing marginal feed; supplemental feeding required.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,,,-86.84508596865699,34.86923198442404
Alabama,Houston,Moderately Dry,20 or more years,Twice or more,,,2018,widespread,,,,Poor - Pastures are providing marginal feed; supplemental feeding required.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,purchased_hay,decreased_stock_weights,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,more_fire_risk,,,,,,,,,,ken atwood,,-85.3481782999985,31.288897299999448
Alabama,Russell,Severely Dry,5-10 years,Once,,2016,,Seems to be widespread. It's even affecting the wildlife. Most of the deer have moved away because of the creek is completely dried up.,,,,Poor - Pastures are providing marginal feed; supplemental feeding required.,,,This is a video of the creek. It is completely dry. 2016 is the only time I've seen it like this.,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,"fewer_saplings_or_reduced_survival,more_pests_diseases",,"less_food,less_water,change_in_animal_migration",,,,,,GGGAlabama,,-85.02012216390145,32.251543571966145
Alabama,Marengo,Severely Dry,20 or more years,Once,,,,,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,WAlabamaRancher87,,-87.75738489364048,32.468318772564324
Alabama,Lowndes,Severely Dry,20 or more years,Twice or more,,,2019,County wide,very_poor,later_than_normal,later_than_normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,This area is usually covered in green grass this time of year,1,CMOR 2022 NDMC,11/7/2023,"plant_stress,erosion,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,more_invasive_species_plants,decreased_stock_weights,animal_stress,mortality,reduced_grazing_on_public_lands,less_water_in_ponds_creeks_etc,sold_livestock,erosion",,mandatory_conservation,,water_conservation_to_mitigate_impacts,"air_quality_dust_pollen,garden_needs_more_water_or_yields_less,stress,increased_algal_blooms",,"dry_lawn,increased_power_bill",,"reduced_boating_rafting,less_appealing_landscape,hunting_or_fishing_reduced",,"landscaping_business_down,lawn_implement_sales_down,more_golf_course_irrigation",,"more_fires_than_usual,more_intense_fires,more_fire_risk,property_damage,smoke_from_distant_fire,park_or_road_closure,burn_or_fireworks_bans",,"change_in_timing_of_plant_growth,leaves_discolored_shriveled_burnt,dead_trees,fewer_saplings_or_reduced_survival,reduced_diameter_growth_compressed_rings,change_in_fruit_nut_berry_production,more_invasive_species",,"less_food,less_water,wildlife_disease_or_mortality",,"less_food,less_water,reduced_streamflow,warmer_water_temperatures,fish_disease_or_mortality,reduced_fishery_production",,"low_streamflow,higher_water_temperature,fish_mortality,timing_of_migration_changed",,Joy and Albert Ashley,,-86.49364094257812,32.27703524756403
Alabama,Limestone,Severely Dry,20 or more years,Once,,2006,,Widespread ,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,animal_stress,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,"more_fires_than_usual,more_intense_fires,more_fire_risk,burn_or_fireworks_bans",,,,,,,,,,,,-86.9337071199765,34.86969443972616
Alabama,Lauderdale,Severely Dry,20 or more years,Never,,,,very widespread. Everyone you talk to in the county and surrounding counties are saying how their pastures are completely burnt up everyone had to start feeding hay early.,,,,Poor - Pastures are providing marginal feed; supplemental feeding required.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,less_water_in_ponds_creeks_etc",,,,,,,reduced_outdoor_water_use,,,,,,"more_fire_risk,burn_or_fireworks_bans",,,,,,,,,,Taylor Scott,,-87.405119979477,34.92420698892916
Alabama,Morgan,Severely Dry,10-20 years,Once,,2017,,,,,,Poor - Pastures are providing marginal feed; supplemental feeding required.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,Circle N,,-87.00689601106892,34.36477300914227
Alabama,Mobile,Severely Dry,20 or more years,Never,,,,Dry across gulf coast region. ,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,DryJB3,,-88.29865458654622,30.455731398915173
Alabama,Elmore,Severely Dry,20 or more years,Never,,,,180 acres ,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,,,-86.23477202199156,32.704157015636625
Alabama,Baldwin,Moderately Dry,20 or more years,Twice or more,,,2008,Area wide,very_poor,later_than_normal,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,Close to 50% reduction in hay production and 25-50% reduction in quality. No winter pasture has sprouted ,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,decreased_stock_weights,animal_stress",,,,,,,,,,,,,,,,,,,,,,,David Walters,,-87.72913200209344,30.348313995799195
Alabama,Bullock,Severely Dry,20 or more years,Twice or more,,,2021,widespread,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Faulk Farms,,-85.72563719999854,32.14806599999946
Alabama,Barbour,Severely Dry,5-10 years,Once,,2019,,This problem persists in just a 10 mile area of the location on map.,very_poor,later_than_normal,normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,plant_stress,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,animal_stress",,,,,,,,,,,,,,,,,,,,,,,H Farmer,,-85.47335039657774,31.67423977489813
Alabama,Hale,Severely Dry,20 or more years,Twice or more,,,2019,,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Jennifer,,-87.71759674110561,32.49524680903774
Alabama,Russell,Severely Dry,20 or more years,Twice or more,,,2010,Widespread ,,,,null,,,"In 13 weeks, we have had only one rain, 1.5” total",0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85.15991072997282,32.092100623068916
Alabama,Henry,Severely Dry,20 or more years,Twice or more,,,2021,It is regionally widespread. ,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,more_invasive_species_plants,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc,sold_livestock",,,,,,,,,,,,,"more_fires_than_usual,more_fire_risk,burn_or_fireworks_bans",,,,"less_food,less_water,wildlife_foraging_near_people,water_quality_reduced,change_in_wetland_bog_swamp_muskeg",,,,,,JYJ Beef,,-85.13607786153652,31.402290262679827
